bromoacetonitrile,bromomalonate,diethyl_thiobarbituric_acid,dimethyl_nitrosoaniline,dimethylisoxazole,ethyl_vinyl_ether,glycidyl_propargyl_ether,hexadienal,indole,phenylboronic_acid,phenylhydrazine,phenylurazole,thiadiazole,tosyl_isocyanide,vinyl_pyrrolidinone,base,acid,pyrylium,rose_bengal,rubypy,prediction
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.691278324
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.1656385
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.693691457
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.013263441
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699631179
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.41E-01
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.501114082
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,9.41E-02
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.550980158
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.049632211
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.89E-02
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.201229875
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.015730062
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,7.15E-02
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.000871219
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.568596631
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31058357
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.828023377
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.319449895
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.341402332
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.082784211
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.09E-03
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.90E-02
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.300301242
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.82330923
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.79501641
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.874115486
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.620890687
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.130111592
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154362683
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.703026657
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0.138833265
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.527143595
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.83E-02
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.114716788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.99995094
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.501780571
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.803823796
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.797294751
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.34593692
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.025585579
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.03E-02
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3.62E-03
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,6.37E-02
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.081220561
