phenyl_isocyanate,benzylamine,cyclopentanone,cinnamaldehyde,sorbic_alcohol,maleic_anhydride,base,prediction
0,1,0,0,1,0,0,0.23425867
0,1,0,1,0,0,1,0.38578254
1,0,0,0,1,0,1,0.18555301
0,1,1,0,0,0,0,0.32383388
0,0,1,0,1,0,1,0.014967784
0,1,0,1,0,0,1,0.63294256
1,0,0,0,0,1,0,0.00024018741
0,0,0,0,1,1,0,0.72823775
0,0,0,0,1,1,0,0.9231988
1,0,0,0,0,1,0,0.0058225207
1,0,0,1,0,0,0,0.0016464383
0,1,0,0,1,0,1,0.17157719
1,0,1,0,0,0,0,0.0014631177
0,1,1,0,0,0,0,0.32613644
1,1,0,0,0,0,0,0.69147295
0,1,0,0,0,1,0,0.61366206
1,0,0,1,0,0,0,0.0020647843
1,1,0,0,0,0,1,0.4206535
1,0,1,0,0,0,1,0.33532912
0,1,0,0,0,1,1,0.55860054
0,0,0,0,1,1,1,0.064842395
0,0,0,1,1,0,0,0.00403575
1,1,0,0,0,0,1,0.50336397
0,0,1,1,0,0,1,0.05075761
0,0,1,1,0,0,0,0.00079952116
1,0,0,0,1,0,1,0.7216049
0,0,1,1,0,0,1,0.35974512
0,1,0,0,1,0,1,0.12462265
0,0,1,0,1,0,0,6.358905e-05
1,1,0,0,0,0,1,0.50422484
0,0,0,1,0,1,1,0.11360473
0,0,0,1,0,1,1,0.06455168
1,0,0,1,0,0,0,0.0002975457
1,0,0,1,0,0,1,0.05740843
1,0,1,0,0,0,1,0.47380528
0,0,0,1,1,0,1,0.41218364
0,0,1,0,0,1,1,0.07348714
0,0,0,1,1,0,1,0.22005464
1,0,0,0,0,1,0,0.004204992
0,0,1,0,1,0,1,0.011341481
0,1,0,0,1,0,0,0.20657915
1,0,1,0,0,0,0,0.000953282
0,0,1,1,0,0,1,0.3485211
0,0,0,0,1,1,1,0.15629649
0,0,1,0,1,0,1,0.053285986
1,0,0,0,0,1,1,0.606086
1,0,1,0,0,0,1,0.31497008
0,1,1,0,0,0,1,0.2251307
0,1,0,0,1,0,0,0.19997498
1,0,0,1,0,0,0,3.5485762e-05
0,1,0,0,1,0,0,0.20334284
0,1,0,1,0,0,1,0.3173282
0,1,1,0,0,0,0,0.24455243
1,1,0,0,0,0,0,0.57235557
1,0,0,0,1,0,0,0.5508299
0,0,1,0,1,0,1,0.10614801
0,1,0,0,0,1,1,0.868023
0,1,1,0,0,0,0,0.23465541
0,0,1,0,0,1,1,0.08246966
0,0,1,0,0,1,0,0.013331958
0,0,0,1,1,0,1,0.0013524108
0,0,0,1,0,1,0,0.0071683247
1,0,0,0,1,0,0,0.021136023
1,0,0,1,0,0,0,0.00013138213
0,0,0,1,1,0,0,4.992362e-05
0,0,0,0,1,1,1,0.0808191
0,1,0,0,1,0,1,0.13855089
0,1,0,1,0,0,1,0.5230717
0,0,1,0,0,1,0,0.0019067808
0,0,0,1,0,1,0,0.01746535
0,0,1,0,0,1,1,0.13044971
0,1,1,0,0,0,0,0.3244863
